country,code,value
Armenia,ARM,-2
Brazil,BRA,-2
Colombia,COL,-1
Egypt,EGY,-1
France,FRA,-1
Georgia,GEO,-2
Greenland,GRL,-1
Hong Kong,HK,-1
India,IND,-2
Indonesia,IDN,-4
Italy,ITA,-2
Latvia,LVA,-2
Libya,LBY,-1
Lithuania,LTU,-2
Macedonia,MKD,-1
Malaysia,MYS,-1
Mexico,MEX,-3
Netherlands,NLD,-1
North Macedonia,MKD,-1
Puerto Rico,PRI,-1
Romania,ROU,-1
Spain,ESP,-2
Thailand,THA,-1
Turkey,TUR,-1
Ukraine,UKR,-2
United Kingdom,GBR,-1
United States,USA,-8
Venezuela,VEN,-3
